SpeciesID,CommonName,ScientificName,species_definition,taxonomic_source,taxonomic_id,kingdom,phylum,class,order,family,genus,rank,new_scientificName,new_scientificNameID,new_kingdom,new_phylum,new_class,new_order,new_family,new_genus,new_rank,match_type
G25,Pleurobranch orange-spot,Aldisa cooperi,Aldisa cooperi,WoRMS,581809,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Aldisa,Species,Aldisa cooperi,581809.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Aldisa,Species,exact
G26,Hopkin's Rose nudibranch,Okenia rosacea,Okenia rosacea,WoRMS,599485,Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Okenia,Species,Okenia rosacea,1723348.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Okenia,Species,exact
G3,Snail,Gastropoda,"sea snail, unidentified beyond the class level",WoRMS,101,Animalia,Mollusca,Gastropoda,,,,Class,Gastropoda,101.0,Animalia,Mollusca,Gastropoda,,,,Class,exact
G30,Turban species,Tegula spp.,"turban snail, not identified beyong the genus level",WoRMS,413467,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Genus,Tegula,413467.0,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Genus,exact
G31,Black Turban,Tegula funebralis,Tegula funebralis,WoRMS,534190,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Species,Tegula funebralis,534190.0,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Species,exact
G312,Banded Tegula,Tegula eiseni,Tegula eiseni,WoRMS,413469,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Species,Tegula eiseni,413469.0,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Species,exact
G313,Queen Tegula,Tegula regina,Tegula regina,WoRMS,534195,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Species,Tegula regina,534195.0,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Species,exact
G32,Blue Top Snail,Calliostoma ligatum,Calliostoma ligatum,WoRMS,580412,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Species,Calliostoma ligatum,580412.0,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Species,exact
G33,Leafy Hornmouth,Ceratostoma foliatum,Ceratostoma foliatum,WoRMS,240767,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,Species,Ceratostoma foliatum,240767.0,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,Species,exact
G331,Predatory snail,Buccinidae,Buccinidae,WoRMS,149,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,,Family,Buccinidae,149.0,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,,Family,exact
